,trial_number,tested_combination,combination_played_order,number_of_turns_won
0,0,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
1,0,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
2,0,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
3,0,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
4,0,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
5,0,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
6,0,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
7,0,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
8,1,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
9,1,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
10,1,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
11,1,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
12,1,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
13,1,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
14,1,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
15,1,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
16,2,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
17,2,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
18,2,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
19,2,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
20,2,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
21,2,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
22,2,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
23,2,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
24,3,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
25,3,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
26,3,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
27,3,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
28,3,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
29,3,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
30,3,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
31,3,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
32,4,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
33,4,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
34,4,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
35,4,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
36,4,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
37,4,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
38,4,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
39,4,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
40,0,Jester - Jester,Jester - Jester,"{0: 0, 1: 1, 2: 1}"
41,0,Jester - Jester,Jester - Jester,"{0: 0, 1: 0, 2: 2}"
42,0,Jester - Jester,Jester - Jester,"{0: 0, 1: 0, 2: 2}"
43,0,Jester - Jester,Jester - Jester,"{0: 0, 1: 0, 2: 2}"
44,0,Jester - Jester,Jester - Jester,"{0: 0, 1: 1, 2: 1}"
45,0,Jester - Jester,Jester - Jester,"{0: 0, 1: 0, 2: 2}"
46,0,Jester - Jester,Jester - Jester,"{0: 0, 1: 0, 2: 2}"
47,0,Jester - Jester,Jester - Jester,"{0: 0, 1: 0, 2: 2}"
48,1,Jester - Jester,Jester - Jester,"{0: 0, 1: 2, 2: 0}"
49,1,Jester - Jester,Jester - Jester,"{0: 0, 1: 2, 2: 0}"
50,1,Jester - Jester,Jester - Jester,"{0: 0, 1: 2, 2: 0}"
51,1,Jester - Jester,Jester - Jester,"{0: 0, 1: 2, 2: 0}"
52,1,Jester - Jester,Jester - Jester,"{0: 0, 1: 2, 2: 0}"
53,1,Jester - Jester,Jester - Jester,"{0: 0, 1: 2, 2: 0}"
54,1,Jester - Jester,Jester - Jester,"{0: 0, 1: 2, 2: 0}"
55,1,Jester - Jester,Jester - Jester,"{0: 0, 1: 2, 2: 0}"
56,2,Jester - Jester,Jester - Jester,"{0: 0, 1: 2, 2: 0}"
57,2,Jester - Jester,Jester - Jester,"{0: 0, 1: 2, 2: 0}"
58,2,Jester - Jester,Jester - Jester,"{0: 0, 1: 2, 2: 0}"
59,2,Jester - Jester,Jester - Jester,"{0: 0, 1: 2, 2: 0}"
60,2,Jester - Jester,Jester - Jester,"{0: 0, 1: 2, 2: 0}"
61,2,Jester - Jester,Jester - Jester,"{0: 0, 1: 2, 2: 0}"
62,2,Jester - Jester,Jester - Jester,"{0: 0, 1: 2, 2: 0}"
63,2,Jester - Jester,Jester - Jester,"{0: 0, 1: 2, 2: 0}"
64,3,Jester - Jester,Jester - Jester,"{0: 0, 1: 1, 2: 1}"
65,3,Jester - Jester,Jester - Jester,"{0: 0, 1: 1, 2: 1}"
66,3,Jester - Jester,Jester - Jester,"{0: 0, 1: 1, 2: 1}"
67,3,Jester - Jester,Jester - Jester,"{0: 0, 1: 1, 2: 1}"
68,3,Jester - Jester,Jester - Jester,"{0: 0, 1: 1, 2: 1}"
69,3,Jester - Jester,Jester - Jester,"{0: 0, 1: 1, 2: 1}"
70,3,Jester - Jester,Jester - Jester,"{0: 0, 1: 1, 2: 1}"
71,3,Jester - Jester,Jester - Jester,"{0: 0, 1: 1, 2: 1}"
72,4,Jester - Jester,Jester - Jester,"{0: 0, 1: 2, 2: 0}"
73,4,Jester - Jester,Jester - Jester,"{0: 0, 1: 2, 2: 0}"
74,4,Jester - Jester,Jester - Jester,"{0: 0, 1: 2, 2: 0}"
75,4,Jester - Jester,Jester - Jester,"{0: 0, 1: 2, 2: 0}"
76,4,Jester - Jester,Jester - Jester,"{0: 0, 1: 2, 2: 0}"
77,4,Jester - Jester,Jester - Jester,"{0: 0, 1: 2, 2: 0}"
78,4,Jester - Jester,Jester - Jester,"{0: 0, 1: 2, 2: 0}"
79,4,Jester - Jester,Jester - Jester,"{0: 0, 1: 2, 2: 0}"
