,tested_combination,combination_played_order,score_prediction_0,score_prediction_1,score_prediction_2
939,Magician - Magician,Magician - Magician,-20.0,-10.0,40.0
906,Magician - 13 RED,Magician - 13 RED,-20.0,-10.0,40.0
905,Magician - 13 RED,13 RED - Magician,-20.0,-10.0,40.0
902,Magician - 12 RED,Magician - 12 RED,-20.0,-10.0,40.0
901,Magician - 12 RED,12 RED - Magician,-20.0,-10.0,40.0
895,Magician - 10 RED,10 RED - Magician,-20.0,-10.0,40.0
896,Magician - 10 RED,Magician - 10 RED,-20.0,-10.0,40.0
936,Magician - 9 RED,Magician - 9 RED,-20.0,-10.0,30.0
935,Magician - 9 RED,9 RED - Magician,-20.0,-10.0,30.0
931,Magician - 8 RED,8 RED - Magician,-18.0,-2.0,20.0
932,Magician - 8 RED,Magician - 8 RED,-20.0,-10.0,20.0
928,Magician - 7 RED,Magician - 7 RED,-20.0,-10.0,10.0
927,Magician - 7 RED,7 RED - Magician,-18.0,-2.0,20.0
924,Magician - 6 RED,Magician - 6 RED,-20.0,-10.0,40.0
923,Magician - 6 RED,6 RED - Magician,-20.0,-10.0,40.0
917,Magician - 4 RED,4 RED - Magician,-16.0,6.0,20.0
918,Magician - 4 RED,Magician - 4 RED,-20.0,-10.0,20.0
914,Magician - 3 RED,Magician - 3 RED,-18.0,-2.0,0.0
913,Magician - 3 RED,3 RED - Magician,-12.0,22.0,0.0
910,Magician - 2 RED,Magician - 2 RED,-20.0,-10.0,20.0
909,Magician - 2 RED,2 RED - Magician,-16.0,6.0,20.0
892,Magician - 1 RED,Magician - 1 RED,-20.0,-10.0,20.0
891,Magician - 1 RED,1 RED - Magician,-18.0,-2.0,20.0
903,Magician - 13 BLUE,13 BLUE - Magician,-20.0,-10.0,30.0
904,Magician - 13 BLUE,Magician - 13 BLUE,-20.0,-10.0,30.0
899,Magician - 12 BLUE,12 BLUE - Magician,-18.0,-2.0,10.0
900,Magician - 12 BLUE,Magician - 12 BLUE,-20.0,-10.0,10.0
897,Magician - 11 BLUE,11 BLUE - Magician,-16.0,6.0,0.0
898,Magician - 11 BLUE,Magician - 11 BLUE,-20.0,-10.0,-10.0
893,Magician - 10 BLUE,10 BLUE - Magician,-18.0,-2.0,10.0
894,Magician - 10 BLUE,Magician - 10 BLUE,-20.0,-10.0,10.0
934,Magician - 9 BLUE,Magician - 9 BLUE,-18.0,-2.0,10.0
933,Magician - 9 BLUE,9 BLUE - Magician,-18.0,-2.0,20.0
930,Magician - 8 BLUE,Magician - 8 BLUE,-20.0,-10.0,10.0
929,Magician - 8 BLUE,8 BLUE - Magician,-18.0,-2.0,10.0
926,Magician - 7 BLUE,Magician - 7 BLUE,-14.0,14.0,-10.0
925,Magician - 7 BLUE,7 BLUE - Magician,-14.0,14.0,-10.0
921,Magician - 6 BLUE,6 BLUE - Magician,-16.0,6.0,0.0
922,Magician - 6 BLUE,Magician - 6 BLUE,-20.0,-10.0,0.0
919,Magician - 5 BLUE,5 BLUE - Magician,-12.0,-10.0,18.0
920,Magician - 5 BLUE,Magician - 5 BLUE,-18.0,-2.0,20.0
915,Magician - 4 BLUE,4 BLUE - Magician,-18.0,-2.0,20.0
916,Magician - 4 BLUE,Magician - 4 BLUE,-20.0,-10.0,20.0
911,Magician - 3 BLUE,3 BLUE - Magician,-16.0,6.0,10.0
912,Magician - 3 BLUE,Magician - 3 BLUE,-18.0,-2.0,10.0
907,Magician - 2 BLUE,2 BLUE - Magician,-16.0,6.0,0.0
908,Magician - 2 BLUE,Magician - 2 BLUE,-18.0,-2.0,0.0
890,Magician - 1 BLUE,Magician - 1 BLUE,-20.0,-10.0,20.0
889,Magician - 1 BLUE,1 BLUE - Magician,-16.0,6.0,20.0
937,Magician - Jester,Jester - Magician,-10.0,30.0,-10.0
938,Magician - Jester,Magician - Jester,-10.0,30.0,-10.0
368,13 RED - 9 RED,13 RED - 9 RED,-20.0,-10.0,40.0
369,13 RED - 9 RED,9 RED - 13 RED,-20.0,-10.0,40.0
365,13 RED - 8 RED,8 RED - 13 RED,-16.0,6.0,20.0
364,13 RED - 8 RED,13 RED - 8 RED,-18.0,-2.0,30.0
361,13 RED - 7 RED,7 RED - 13 RED,-18.0,-2.0,30.0
360,13 RED - 7 RED,13 RED - 7 RED,-18.0,-2.0,30.0
348,13 RED - 2 RED,13 RED - 2 RED,-18.0,-2.0,30.0
349,13 RED - 2 RED,2 RED - 13 RED,-14.0,14.0,10.0
344,13 RED - 13 BLUE,13 BLUE - 13 RED,-16.0,-2.0,18.0
345,13 RED - 13 BLUE,13 RED - 13 BLUE,-16.0,-2.0,18.0
342,13 RED - 12 BLUE,12 BLUE - 13 RED,-16.0,6.0,20.0
343,13 RED - 12 BLUE,13 RED - 12 BLUE,-18.0,-10.0,18.0
340,13 RED - 11 BLUE,11 BLUE - 13 RED,-18.0,-2.0,10.0
341,13 RED - 11 BLUE,13 RED - 11 BLUE,-20.0,-10.0,30.0
339,13 RED - 10 BLUE,13 RED - 10 BLUE,-18.0,-10.0,18.0
338,13 RED - 10 BLUE,10 BLUE - 13 RED,-16.0,6.0,10.0
367,13 RED - 9 BLUE,9 BLUE - 13 RED,-18.0,-2.0,30.0
366,13 RED - 9 BLUE,13 RED - 9 BLUE,-20.0,-10.0,30.0
363,13 RED - 8 BLUE,8 BLUE - 13 RED,-12.0,14.0,-2.0
362,13 RED - 8 BLUE,13 RED - 8 BLUE,-16.0,-10.0,-4.0
358,13 RED - 7 BLUE,13 RED - 7 BLUE,-18.0,-2.0,-10.0
359,13 RED - 7 BLUE,7 BLUE - 13 RED,-10.0,30.0,-10.0
356,13 RED - 6 BLUE,13 RED - 6 BLUE,-14.0,-2.0,-4.0
357,13 RED - 6 BLUE,6 BLUE - 13 RED,-6.0,6.0,-4.0
354,13 RED - 5 BLUE,13 RED - 5 BLUE,-16.0,6.0,10.0
355,13 RED - 5 BLUE,5 BLUE - 13 RED,-14.0,14.0,0.0
352,13 RED - 4 BLUE,13 RED - 4 BLUE,-18.0,-2.0,10.0
353,13 RED - 4 BLUE,4 BLUE - 13 RED,-14.0,14.0,10.0
350,13 RED - 3 BLUE,13 RED - 3 BLUE,-20.0,-10.0,30.0
351,13 RED - 3 BLUE,3 BLUE - 13 RED,-18.0,-2.0,0.0
346,13 RED - 2 BLUE,13 RED - 2 BLUE,-18.0,-10.0,18.0
347,13 RED - 2 BLUE,2 BLUE - 13 RED,-10.0,-2.0,18.0
336,13 RED - 1 BLUE,1 BLUE - 13 RED,-16.0,6.0,-10.0
337,13 RED - 1 BLUE,13 RED - 1 BLUE,-18.0,-2.0,20.0
262,12 RED - 13 RED,12 RED - 13 RED,-20.0,-10.0,40.0
263,12 RED - 13 RED,13 RED - 12 RED,-20.0,-10.0,40.0
288,12 RED - 9 RED,12 RED - 9 RED,-20.0,-10.0,40.0
289,12 RED - 9 RED,9 RED - 12 RED,-20.0,-10.0,40.0
285,12 RED - 8 RED,8 RED - 12 RED,-18.0,-2.0,30.0
284,12 RED - 8 RED,12 RED - 8 RED,-20.0,-10.0,40.0
281,12 RED - 7 RED,7 RED - 12 RED,-16.0,6.0,20.0
280,12 RED - 7 RED,12 RED - 7 RED,-20.0,-10.0,40.0
272,12 RED - 4 RED,12 RED - 4 RED,-20.0,-10.0,40.0
273,12 RED - 4 RED,4 RED - 12 RED,-18.0,-2.0,30.0
266,12 RED - 2 RED,12 RED - 2 RED,-20.0,-10.0,40.0
267,12 RED - 2 RED,2 RED - 12 RED,-16.0,6.0,20.0
253,12 RED - 1 RED,12 RED - 1 RED,-16.0,-2.0,18.0
252,12 RED - 1 RED,1 RED - 12 RED,-14.0,6.0,8.0
260,12 RED - 13 BLUE,12 RED - 13 BLUE,-8.0,6.0,8.0
261,12 RED - 13 BLUE,13 BLUE - 12 RED,-14.0,14.0,10.0
258,12 RED - 12 BLUE,12 BLUE - 12 RED,-20.0,-10.0,30.0
259,12 RED - 12 BLUE,12 RED - 12 BLUE,-20.0,-10.0,40.0
256,12 RED - 11 BLUE,11 BLUE - 12 RED,-12.0,22.0,0.0
257,12 RED - 11 BLUE,12 RED - 11 BLUE,-18.0,-10.0,-2.0
254,12 RED - 10 BLUE,10 BLUE - 12 RED,-18.0,-10.0,18.0
255,12 RED - 10 BLUE,12 RED - 10 BLUE,-18.0,-10.0,28.0
286,12 RED - 9 BLUE,12 RED - 9 BLUE,-20.0,-10.0,30.0
287,12 RED - 9 BLUE,9 BLUE - 12 RED,-18.0,-2.0,30.0
283,12 RED - 8 BLUE,8 BLUE - 12 RED,-12.0,22.0,0.0
282,12 RED - 8 BLUE,12 RED - 8 BLUE,-6.0,-2.0,-6.0
278,12 RED - 7 BLUE,12 RED - 7 BLUE,-10.0,-10.0,16.0
279,12 RED - 7 BLUE,7 BLUE - 12 RED,-10.0,-2.0,18.0
276,12 RED - 6 BLUE,12 RED - 6 BLUE,-16.0,-2.0,8.0
277,12 RED - 6 BLUE,6 BLUE - 12 RED,-14.0,14.0,0.0
274,12 RED - 5 BLUE,12 RED - 5 BLUE,-16.0,-2.0,8.0
275,12 RED - 5 BLUE,5 BLUE - 12 RED,-14.0,14.0,0.0
270,12 RED - 4 BLUE,12 RED - 4 BLUE,-18.0,-10.0,-2.0
271,12 RED - 4 BLUE,4 BLUE - 12 RED,-12.0,14.0,-2.0
268,12 RED - 3 BLUE,12 RED - 3 BLUE,-14.0,14.0,0.0
269,12 RED - 3 BLUE,3 BLUE - 12 RED,-12.0,22.0,0.0
264,12 RED - 2 BLUE,12 RED - 2 BLUE,-16.0,-2.0,-2.0
265,12 RED - 2 BLUE,2 BLUE - 12 RED,-12.0,22.0,-10.0
251,12 RED - 1 BLUE,12 RED - 1 BLUE,-12.0,6.0,-14.0
