,tested_combination,combination_played_order,score_prediction_0,score_prediction_1,score_prediction_2
0,1 BLUE - 1 GREEN,1 BLUE - 1 GREEN,12.0,-10.0,-18.0
1,1 BLUE - 1 GREEN,1 GREEN - 1 BLUE,14.0,-2.0,-18.0
2,1 BLUE - 13 BLUE,1 BLUE - 13 BLUE,20.0,-10.0,-20.0
3,1 BLUE - 13 BLUE,13 BLUE - 1 BLUE,-14.0,-2.0,6.0
4,1 RED - 1 BLUE,1 BLUE - 1 RED,-12.0,6.0,-4.0
5,1 RED - 1 BLUE,1 RED - 1 BLUE,-2.0,-10.0,-6.0
6,1 RED - 10 BLUE,1 RED - 10 BLUE,-2.0,-10.0,-6.0
7,1 RED - 10 BLUE,10 BLUE - 1 RED,-6.0,6.0,-4.0
8,1 RED - 11 BLUE,1 RED - 11 BLUE,-10.0,-2.0,8.0
9,1 RED - 11 BLUE,11 BLUE - 1 RED,-14.0,14.0,10.0
10,1 RED - 12 BLUE,1 RED - 12 BLUE,-12.0,-10.0,18.0
11,1 RED - 12 BLUE,12 BLUE - 1 RED,-18.0,-2.0,20.0
12,1 RED - 13 BLUE,1 RED - 13 BLUE,-10.0,-10.0,16.0
13,1 RED - 13 BLUE,13 BLUE - 1 RED,-10.0,-2.0,18.0
14,1 RED - 2 BLUE,1 RED - 2 BLUE,-8.0,-10.0,-16.0
15,1 RED - 2 BLUE,2 BLUE - 1 RED,8.0,6.0,-16.0
16,1 RED - 3 BLUE,1 RED - 3 BLUE,-20.0,-10.0,0.0
17,1 RED - 3 BLUE,3 BLUE - 1 RED,-12.0,22.0,0.0
18,1 RED - 4 BLUE,1 RED - 4 BLUE,-8.0,-10.0,-16.0
19,1 RED - 4 BLUE,4 BLUE - 1 RED,-10.0,22.0,-12.0
20,1 RED - 5 BLUE,1 RED - 5 BLUE,-4.0,-10.0,-14.0
21,1 RED - 5 BLUE,5 BLUE - 1 RED,-10.0,22.0,-12.0
22,1 RED - 6 BLUE,1 RED - 6 BLUE,-2.0,-2.0,-4.0
23,1 RED - 6 BLUE,6 BLUE - 1 RED,-6.0,6.0,-4.0
24,1 RED - 7 BLUE,1 RED - 7 BLUE,-10.0,-10.0,-4.0
25,1 RED - 7 BLUE,7 BLUE - 1 RED,-14.0,6.0,-2.0
26,1 RED - 7 RED,1 RED - 7 RED,-14.0,14.0,10.0
27,1 RED - 7 RED,7 RED - 1 RED,-14.0,14.0,10.0
28,1 RED - 8 BLUE,1 RED - 8 BLUE,-10.0,-10.0,-4.0
29,1 RED - 8 BLUE,8 BLUE - 1 RED,-8.0,6.0,-2.0
30,1 RED - 9 BLUE,1 RED - 9 BLUE,-18.0,-10.0,-2.0
31,1 RED - 9 BLUE,9 BLUE - 1 RED,-16.0,6.0,0.0
32,10 BLUE - 1 BLUE,1 BLUE - 10 BLUE,14.0,-10.0,-20.0
33,10 BLUE - 1 BLUE,10 BLUE - 1 BLUE,-16.0,-2.0,18.0
34,10 BLUE - 1 GREEN,1 GREEN - 10 BLUE,0.0,-10.0,-8.0
35,10 BLUE - 1 GREEN,10 BLUE - 1 GREEN,-8.0,-10.0,-6.0
36,10 BLUE - 10 GREEN,10 BLUE - 10 GREEN,-8.0,-2.0,-6.0
37,10 BLUE - 10 GREEN,10 GREEN - 10 BLUE,-16.0,-2.0,-2.0
38,10 BLUE - 11 BLUE,10 BLUE - 11 BLUE,-10.0,-10.0,16.0
