tested_combination,combination_played_order,score_prediction_0,score_prediction_1,score_prediction_2
Magician - Magician,Magician - Magician,-20.0,-10.0,40.0
Magician - 13 RED,Magician - 13 RED,-19.63,-8.52,36.1
Magician - 12 RED,Magician - 12 RED,-19.58,-8.48,34.35
Magician - 11 RED,Magician - 11 RED,-19.47,-8.0,32.01
Magician - 10 RED,Magician - 10 RED,-19.57,-8.36,31.76
Magician - 9 RED,Magician - 9 RED,-19.4,-7.84,29.08
Magician - 8 RED,Magician - 8 RED,-19.51,-8.24,27.59
Magician - 7 RED,Magician - 7 RED,-19.42,-8.24,27.74
Magician - 6 RED,Magician - 6 RED,-19.49,-8.16,25.75
Magician - 5 RED,Magician - 5 RED,-19.31,-7.56,24.22
Magician - 4 RED,Magician - 4 RED,-19.26,-7.56,22.9
Magician - 3 RED,Magician - 3 RED,-19.44,-8.2,22.69
Magician - 2 RED,Magician - 2 RED,-19.27,-7.84,22.88
Magician - 1 RED,Magician - 1 RED,-19.16,-7.28,20.01
Magician - 13 BLUE,Magician - 13 BLUE,-18.9,-8.08,-1.25
Magician - 12 BLUE,Magician - 12 BLUE,-18.72,-7.64,-2.87
Magician - 11 BLUE,Magician - 11 BLUE,-18.43,-6.48,-4.13
Magician - 10 BLUE,Magician - 10 BLUE,-18.27,-5.52,-6.0
Magician - 9 BLUE,Magician - 9 BLUE,-17.93,-5.6,-6.31
Magician - 8 BLUE,Magician - 8 BLUE,-18.11,-4.84,-5.88
Magician - 7 BLUE,Magician - 7 BLUE,-17.79,-4.04,-7.78
Magician - 6 BLUE,Magician - 6 BLUE,-17.98,-4.28,-8.37
Magician - 5 BLUE,Magician - 5 BLUE,-17.44,-3.32,-8.65
Magician - 4 BLUE,Magician - 4 BLUE,-17.05,-1.72,-9.89
Magician - 3 BLUE,Magician - 3 BLUE,-16.9,-1.04,-10.27
Magician - 2 BLUE,Magician - 2 BLUE,-16.74,0.04,-10.55
Magician - 1 BLUE,Magician - 1 BLUE,-16.38,0.6,-10.92
Magician - Jester,Magician - Jester,-10.0,26.4,-10.9
13 RED - 12 RED,13 RED - 12 RED,-18.23,-3.12,31.1
13 RED - 11 RED,13 RED - 11 RED,-18.45,-4.4,31.89
13 RED - 10 RED,13 RED - 10 RED,-18.22,-3.04,28.66
13 RED - 9 RED,13 RED - 9 RED,-18.23,-3.4,26.68
13 RED - 8 RED,13 RED - 8 RED,-18.47,-4.76,27.13
13 RED - 7 RED,13 RED - 7 RED,-18.33,-4.96,26.19
13 RED - 6 RED,13 RED - 6 RED,-18.36,-4.68,24.77
13 RED - 5 RED,13 RED - 5 RED,-18.35,-4.52,23.57
13 RED - 4 RED,13 RED - 4 RED,-18.03,-4.04,22.1
13 RED - 3 RED,13 RED - 3 RED,-18.41,-4.8,22.29
13 RED - 2 RED,13 RED - 2 RED,-17.94,-4.16,19.47
13 RED - 1 RED,13 RED - 1 RED,-17.92,-3.84,19.16
13 RED - 13 BLUE,13 RED - 13 BLUE,-17.84,-6.92,-1.3
13 RED - 12 BLUE,13 RED - 12 BLUE,-17.38,-5.52,-2.71
13 RED - 11 BLUE,13 RED - 11 BLUE,-16.88,-3.24,-4.6
13 RED - 10 BLUE,13 RED - 10 BLUE,-16.74,-3.16,-5.05
13 RED - 9 BLUE,13 RED - 9 BLUE,-16.08,-0.96,-7.0
13 RED - 8 BLUE,13 RED - 8 BLUE,-15.77,-0.24,-7.33
13 RED - 7 BLUE,13 RED - 7 BLUE,-15.48,1.6,-7.98
13 RED - 6 BLUE,13 RED - 6 BLUE,-15.14,3.24,-8.93
13 RED - 5 BLUE,13 RED - 5 BLUE,-14.47,4.92,-9.57
13 RED - 4 BLUE,13 RED - 4 BLUE,-14.2,6.76,-10.2
13 RED - 3 BLUE,13 RED - 3 BLUE,-13.62,7.72,-10.94
13 RED - 2 BLUE,13 RED - 2 BLUE,-13.24,9.44,-11.24
13 RED - 1 BLUE,13 RED - 1 BLUE,-12.6,10.16,-11.82
13 RED - Jester,13 RED - Jester,-9.94,23.64,-11.59
12 RED - 11 RED,12 RED - 11 RED,-17.95,-2.88,30.38
12 RED - 10 RED,12 RED - 10 RED,-17.96,-2.92,29.05
12 RED - 9 RED,12 RED - 9 RED,-17.98,-2.64,27.4
12 RED - 8 RED,12 RED - 8 RED,-17.85,-2.68,25.92
12 RED - 7 RED,12 RED - 7 RED,-17.91,-2.84,26.06
12 RED - 6 RED,12 RED - 6 RED,-17.98,-3.28,24.62
12 RED - 5 RED,12 RED - 5 RED,-17.95,-3.72,23.97
12 RED - 4 RED,12 RED - 4 RED,-17.71,-2.92,21.84
12 RED - 3 RED,12 RED - 3 RED,-18.07,-3.68,22.1
12 RED - 2 RED,12 RED - 2 RED,-17.82,-3.16,19.23
12 RED - 1 RED,12 RED - 1 RED,-17.89,-2.88,20.1
12 RED - 13 BLUE,12 RED - 13 BLUE,-17.53,-6.88,-1.21
12 RED - 12 BLUE,12 RED - 12 BLUE,-17.0,-5.32,-3.75
12 RED - 11 BLUE,12 RED - 11 BLUE,-16.75,-4.6,-5.11
12 RED - 10 BLUE,12 RED - 10 BLUE,-16.27,-3.08,-5.86
12 RED - 9 BLUE,12 RED - 9 BLUE,-15.73,-1.0,-7.54
12 RED - 8 BLUE,12 RED - 8 BLUE,-15.83,-1.0,-7.83
12 RED - 7 BLUE,12 RED - 7 BLUE,-15.21,1.2,-9.28
12 RED - 6 BLUE,12 RED - 6 BLUE,-14.71,3.16,-9.41
12 RED - 5 BLUE,12 RED - 5 BLUE,-14.48,4.36,-9.59
12 RED - 4 BLUE,12 RED - 4 BLUE,-13.68,5.92,-11.16
12 RED - 3 BLUE,12 RED - 3 BLUE,-13.37,6.28,-11.36
12 RED - 2 BLUE,12 RED - 2 BLUE,-13.02,8.76,-11.61
12 RED - 1 BLUE,12 RED - 1 BLUE,-12.71,9.16,-12.05
12 RED - Jester,12 RED - Jester,-9.94,21.8,-12.05
11 RED - 10 RED,11 RED - 10 RED,-17.41,-1.24,27.91
11 RED - 9 RED,11 RED - 9 RED,-17.69,-2.12,27.53
11 RED - 8 RED,11 RED - 8 RED,-17.82,-2.08,26.81
11 RED - 7 RED,11 RED - 7 RED,-17.61,-2.12,25.0
11 RED - 6 RED,11 RED - 6 RED,-17.41,-1.88,23.8
11 RED - 5 RED,11 RED - 5 RED,-17.68,-2.64,23.27
11 RED - 4 RED,11 RED - 4 RED,-17.56,-2.72,22.68
11 RED - 3 RED,11 RED - 3 RED,-17.43,-2.36,21.05
11 RED - 2 RED,11 RED - 2 RED,-17.42,-2.64,19.85
11 RED - 1 RED,11 RED - 1 RED,-17.8,-3.88,20.9
11 RED - 13 BLUE,11 RED - 13 BLUE,-17.17,-6.52,-1.85
11 RED - 12 BLUE,11 RED - 12 BLUE,-16.97,-5.68,-3.44
11 RED - 11 BLUE,11 RED - 11 BLUE,-16.55,-4.2,-5.04
11 RED - 10 BLUE,11 RED - 10 BLUE,-16.38,-3.24,-5.97
11 RED - 9 BLUE,11 RED - 9 BLUE,-16.1,-1.88,-5.98
11 RED - 8 BLUE,11 RED - 8 BLUE,-15.37,-0.84,-8.55
11 RED - 7 BLUE,11 RED - 7 BLUE,-14.85,1.32,-9.5
11 RED - 6 BLUE,11 RED - 6 BLUE,-14.31,2.72,-9.82
11 RED - 5 BLUE,11 RED - 5 BLUE,-14.28,3.28,-10.25
11 RED - 4 BLUE,11 RED - 4 BLUE,-13.92,5.16,-10.68
11 RED - 3 BLUE,11 RED - 3 BLUE,-13.08,6.68,-11.5
11 RED - 2 BLUE,11 RED - 2 BLUE,-13.03,7.36,-11.76
11 RED - 1 BLUE,11 RED - 1 BLUE,-12.32,9.88,-12.11
11 RED - Jester,11 RED - Jester,-9.88,21.8,-12.05
10 RED - 9 RED,10 RED - 9 RED,-17.5,-1.72,28.33
10 RED - 8 RED,10 RED - 8 RED,-17.72,-2.24,27.56
10 RED - 7 RED,10 RED - 7 RED,-17.68,-1.92,25.91
10 RED - 6 RED,10 RED - 6 RED,-17.54,-1.76,24.57
10 RED - 5 RED,10 RED - 5 RED,-17.19,-1.52,23.19
10 RED - 4 RED,10 RED - 4 RED,-17.47,-2.12,22.56
10 RED - 3 RED,10 RED - 3 RED,-17.63,-2.32,21.76
10 RED - 2 RED,10 RED - 2 RED,-17.21,-1.32,19.93
10 RED - 1 RED,10 RED - 1 RED,-17.52,-2.88,20.57
10 RED - 13 BLUE,10 RED - 13 BLUE,-16.77,-7.0,-2.18
10 RED - 12 BLUE,10 RED - 12 BLUE,-16.74,-5.8,-3.75
10 RED - 11 BLUE,10 RED - 11 BLUE,-16.27,-5.16,-4.67
10 RED - 10 BLUE,10 RED - 10 BLUE,-15.79,-3.44,-6.51
10 RED - 9 BLUE,10 RED - 9 BLUE,-15.36,-2.48,-7.22
10 RED - 8 BLUE,10 RED - 8 BLUE,-14.77,-0.88,-8.42
10 RED - 7 BLUE,10 RED - 7 BLUE,-14.63,-0.48,-9.57
10 RED - 6 BLUE,10 RED - 6 BLUE,-14.11,0.8,-9.66
10 RED - 5 BLUE,10 RED - 5 BLUE,-13.45,3.2,-10.64
10 RED - 4 BLUE,10 RED - 4 BLUE,-13.28,5.04,-11.15
10 RED - 3 BLUE,10 RED - 3 BLUE,-12.55,6.56,-11.56
10 RED - 2 BLUE,10 RED - 2 BLUE,-12.22,8.2,-12.13
10 RED - 1 BLUE,10 RED - 1 BLUE,-12.09,8.96,-12.31
10 RED - Jester,10 RED - Jester,-9.76,20.0,-12.5
9 RED - 8 RED,9 RED - 8 RED,-16.95,-0.2,26.31
9 RED - 7 RED,9 RED - 7 RED,-17.2,-1.28,26.46
9 RED - 6 RED,9 RED - 6 RED,-16.93,-0.6,24.17
9 RED - 5 RED,9 RED - 5 RED,-16.64,-0.16,21.61
9 RED - 4 RED,9 RED - 4 RED,-17.11,-2.16,24.65
9 RED - 3 RED,9 RED - 3 RED,-17.22,-1.32,21.9
9 RED - 2 RED,9 RED - 2 RED,-17.12,-1.72,20.25
9 RED - 1 RED,9 RED - 1 RED,-16.76,-1.04,20.17
9 RED - 13 BLUE,9 RED - 13 BLUE,-17.1,-7.0,-1.64
9 RED - 12 BLUE,9 RED - 12 BLUE,-16.35,-5.44,-3.53
9 RED - 11 BLUE,9 RED - 11 BLUE,-15.5,-3.76,-5.05
9 RED - 10 BLUE,9 RED - 10 BLUE,-15.6,-3.16,-6.6
9 RED - 9 BLUE,9 RED - 9 BLUE,-15.2,-2.24,-7.18
9 RED - 8 BLUE,9 RED - 8 BLUE,-14.55,-0.56,-8.19
9 RED - 7 BLUE,9 RED - 7 BLUE,-14.18,0.84,-9.26
9 RED - 6 BLUE,9 RED - 6 BLUE,-13.83,1.48,-10.02
9 RED - 5 BLUE,9 RED - 5 BLUE,-13.53,2.68,-10.44
9 RED - 4 BLUE,9 RED - 4 BLUE,-13.14,3.36,-11.64
9 RED - 3 BLUE,9 RED - 3 BLUE,-12.48,4.72,-12.09
9 RED - 2 BLUE,9 RED - 2 BLUE,-12.28,7.44,-12.39
9 RED - 1 BLUE,9 RED - 1 BLUE,-11.5,7.16,-12.74
9 RED - Jester,9 RED - Jester,-9.85,19.36,-12.66
8 RED - 7 RED,8 RED - 7 RED,-16.67,1.16,24.43
8 RED - 6 RED,8 RED - 6 RED,-16.42,0.96,23.01
